Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,HeartRate
WATCH,1642571536478,1642571536485,4,1642571536485,0.030,0.065,-0.126,-0.001,-0.045,-0.047,71
WATCH,1642571536488,1642571536495,4,1642571536495,-0.151,0.118,-0.157,-0.011,-0.065,-0.034,71
WATCH,1642571536498,1642571536505,4,1642571536505,-0.427,0.135,-0.234,-0.019,-0.079,-0.002,71
WATCH,1642571536508,1642571536515,4,1642571536515,-0.734,0.198,-0.299,-0.027,-0.096,0.041,71
WATCH,1642571536518,1642571536525,4,1642571536525,-1.017,0.235,-0.348,-0.039,-0.101,0.083,71
WATCH,1642571536528,1642571536535,4,1642571536535,-1.295,0.233,-0.405,-0.048,-0.089,0.080,71
WATCH,1642571536538,1642571536545,4,1642571536545,-1.568,0.240,-0.483,-0.063,-0.084,0.061,71
WATCH,1642571536548,1642571536555,4,1642571536555,-1.850,0.282,-0.568,-0.084,-0.097,0.068,71
WATCH,1642571536557,1642571536564,4,1642571536564,-2.138,0.350,-0.648,-0.106,-0.114,0.074,71
WATCH,1642571536568,1642571536575,4,1642571536575,-2.468,0.398,-0.721,-0.124,-0.110,0.089,71
WATCH,1642571536578,1642571536585,4,1642571536585,-2.893,0.446,-0.768,-0.143,-0.103,0.113,71
WATCH,1642571536587,1642571536594,4,1642571536594,-3.469,0.509,-0.816,-0.166,-0.118,0.127,71
WATCH,1642571536598,1642571536605,4,1642571536605,-4.180,0.631,-0.851,-0.192,-0.136,0.172,71
WATCH,1642571536607,1642571536614,4,1642571536614,-4.859,0.784,-0.865,-0.210,-0.153,0.190,71
WATCH,1642571536617,1642571536624,4,1642571536624,-5.551,0.955,-0.860,-0.224,-0.163,0.243,71
WATCH,1642571536628,1642571536635,4,1642571536635,-6.272,1.095,-0.879,-0.226,-0.179,0.269,71
WATCH,1642571536637,1642571536644,4,1642571536644,-6.950,1.231,-0.921,-0.227,-0.205,0.295,71
WATCH,1642571536647,1642571536654,4,1642571536654,-7.645,1.403,-0.971,-0.224,-0.213,0.349,71
WATCH,1642571536657,1642571536664,4,1642571536664,-8.349,1.674,-1.060,-0.217,-0.209,0.407,71
WATCH,1642571536667,1642571536674,4,1642571536674,-9.028,1.965,-1.260,-0.203,-0.207,0.442,71
WATCH,1642571536677,1642571536684,4,1642571536684,-9.548,2.248,-1.516,-0.170,-0.220,0.485,71
WATCH,1642571536687,1642571536694,4,1642571536694,-9.977,2.386,-1.725,-0.114,-0.257,0.498,71
WATCH,1642571536697,1642571536704,4,1642571536704,-10.189,2.337,-1.828,-0.052,-0.230,0.542,71
WATCH,1642571536707,1642571536714,4,1642571536714,-10.290,2.199,-1.798,-0.002,-0.099,0.584,71
WATCH,1642571536717,1642571536724,4,1642571536724,-10.122,1.937,-1.774,0.036,0.016,0.474,71
WATCH,1642571536727,1642571536734,4,1642571536734,-9.442,1.658,-1.666,0.063,0.150,0.365,71
WATCH,1642571536737,1642571536744,4,1642571536744,-8.460,1.434,-1.462,0.077,0.339,0.337,71
WATCH,1642571536747,1642571536754,4,1642571536754,-7.285,1.219,-1.338,0.139,0.452,0.253,71
WATCH,1642571536756,1642571536763,4,1642571536763,-6.055,0.979,-1.231,0.223,0.458,0.160,71
WATCH,1642571536766,1642571536773,4,1642571536773,-5.175,0.869,-0.972,0.229,0.419,0.136,71
WATCH,1642571536777,1642571536784,4,1642571536784,-4.520,0.753,-0.687,0.216,0.366,0.151,71
WATCH,1642571536786,1642571536793,4,1642571536793,-3.972,0.539,-0.510,0.166,0.373,0.141,71
WATCH,1642571536796,1642571536803,4,1642571536803,-3.441,0.312,-0.454,0.111,0.397,0.037,71
WATCH,1642571536806,1642571536813,4,1642571536813,-2.763,0.262,-0.405,0.067,0.397,-0.068,71
