DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1643267258673,1643267257366,4,1643267257366,42,4,10,0,0,0,ELT003#
DEVICE,1643267258706,1643267257399,4,1643267257399,47,4,10,0,0,0,ELT003#
DEVICE,1643267258738,1643267257431,4,1643267257431,47,4,10,0,0,0,ELT003#
DEVICE,1643267258769,1643267257462,4,1643267257462,47,4,10,0,0,0,ELT003#
DEVICE,1643267258801,1643267257494,4,1643267257494,45,4,10,0,0,0,ELT003#
DEVICE,1643267258834,1643267257527,4,1643267257527,46,4,10,0,0,0,ELT003#
DEVICE,1643267258865,1643267257558,4,1643267257558,49,4,10,0,0,0,ELT003#
DEVICE,1643267258898,1643267257591,4,1643267257591,46,4,10,0,0,0,ELT003#
DEVICE,1643267258929,1643267257622,4,1643267257622,46,4,10,0,0,0,ELT003#
DEVICE,1643267258962,1643267257655,4,1643267257655,49,4,10,0,0,0,ELT003#
DEVICE,1643267258994,1643267257687,4,1643267257687,48,4,10,0,0,0,ELT003#
DEVICE,1643267259026,1643267257719,4,1643267257719,46,4,10,0,0,0,ELT003#
DEVICE,1643267259057,1643267257750,4,1643267257750,49,4,10,0,0,0,ELT003#
DEVICE,1643267259089,1643267257782,4,1643267257782,50,5,10,0,0,0,ELT003#
DEVICE,1643267259121,1643267257814,4,1643267257814,49,4,10,0,0,0,ELT003#
DEVICE,1643267259153,1643267257846,4,1643267257846,46,4,10,0,0,0,ELT003#
DEVICE,1643267259170,1643267257863,4,1643267257863,48,4,10,0,0,0,ELT003#
DEVICE,1643267259201,1643267257894,4,1643267257894,48,4,10,0,0,0,ELT003#
DEVICE,1643267259233,1643267257926,4,1643267257926,46,4,10,0,0,0,ELT003#
DEVICE,1643267259265,1643267257958,4,1643267257958,48,4,10,0,0,0,ELT003#
DEVICE,1643267259297,1643267257990,4,1643267257990,47,4,10,0,0,0,ELT003#
DEVICE,1643267259329,1643267258022,4,1643267258022,47,4,10,0,0,0,ELT003#
DEVICE,1643267259361,1643267258054,4,1643267258054,44,4,10,0,0,0,ELT003#
DEVICE,1643267259393,1643267258086,4,1643267258086,48,4,10,0,0,0,ELT003#
DEVICE,1643267259425,1643267258118,4,1643267258118,48,4,10,0,0,0,ELT003#
DEVICE,1643267259457,1643267258150,4,1643267258150,47,4,10,0,0,0,ELT003#
DEVICE,1643267259489,1643267258182,4,1643267258182,48,4,10,0,0,0,ELT003#
