DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1644547140380,1644547127292,4,1644547127292,778,77,0,0,37581,0,DKU006#
DEVICE,1644547140412,1644547127324,4,1644547127324,798,79,0,0,37581,0,DKU006#
DEVICE,1644547140444,1644547127356,4,1644547127356,792,79,0,0,37581,0,DKU006#
DEVICE,1644547140476,1644547127388,4,1644547127388,800,80,0,0,37581,0,DKU006#
DEVICE,1644547140508,1644547127420,4,1644547127420,800,80,0,0,37581,0,DKU006#
DEVICE,1644547140540,1644547127452,4,1644547127452,787,78,0,0,37581,0,DKU006#
DEVICE,1644547140572,1644547127484,4,1644547127484,799,79,0,0,37581,0,DKU006#
DEVICE,1644547140604,1644547127516,4,1644547127516,800,80,0,0,37581,0,DKU006#
DEVICE,1644547140636,1644547127548,4,1644547127548,810,81,0,0,37581,0,DKU006#
DEVICE,1644547140668,1644547127580,4,1644547127580,794,79,0,0,37581,0,DKU006#
DEVICE,1644547140700,1644547127612,4,1644547127612,791,79,0,0,37581,0,DKU006#
DEVICE,1644547140715,1644547127627,4,1644547127627,791,79,0,0,37581,0,DKU006#
DEVICE,1644547140747,1644547127659,4,1644547127659,790,79,0,0,37581,0,DKU006#
DEVICE,1644547140780,1644547127692,4,1644547127692,789,78,0,0,37581,0,DKU006#
DEVICE,1644547140812,1644547127724,4,1644547127724,789,78,0,0,37581,0,DKU006#
DEVICE,1644547140844,1644547127756,4,1644547127756,801,80,0,0,37581,0,DKU006#
DEVICE,1644547140876,1644547127788,4,1644547127788,806,80,0,0,37581,0,DKU006#
DEVICE,1644547140908,1644547127820,4,1644547127820,775,77,0,0,37581,0,DKU006#
DEVICE,1644547140940,1644547127852,4,1644547127852,796,79,0,0,37581,0,DKU006#
DEVICE,1644547140972,1644547127884,4,1644547127884,784,78,0,0,37581,0,DKU006#
DEVICE,1644547141004,1644547127916,4,1644547127916,793,79,0,0,37581,0,DKU006#
DEVICE,1644547141036,1644547127948,4,1644547127948,780,78,0,0,37581,0,DKU006#
DEVICE,1644547141068,1644547127980,4,1644547127980,775,77,0,0,37581,0,DKU006#
DEVICE,1644547141100,1644547128012,4,1644547128012,795,79,0,0,37581,0,DKU006#
DEVICE,1644547141132,1644547128044,4,1644547128044,773,77,0,0,37581,0,DKU006#
DEVICE,1644547141163,1644547128075,4,1644547128075,782,78,0,0,37581,0,DKU006#
DEVICE,1644547141196,1644547128108,4,1644547128108,795,79,0,0,37581,0,DKU006#
DEVICE,1644547141228,1644547128140,4,1644547128140,781,78,0,0,37581,0,DKU006#
DEVICE,1644547141260,1644547128172,4,1644547128172,788,78,0,0,37581,0,DKU006#
DEVICE,1644547141292,1644547128204,4,1644547128204,784,78,0,0,37581,0,DKU006#
DEVICE,1644547141339,1644547128251,4,1644547128251,796,79,0,0,37581,0,DKU006#
DEVICE,1644547141356,1644547128268,4,1644547128268,784,78,0,0,37581,0,DKU006#
DEVICE,1644547141387,1644547128299,4,1644547128299,788,78,0,0,37581,0,DKU006#
DEVICE,1644547141419,1644547128331,4,1644547128331,790,79,0,0,37581,0,DKU006#
DEVICE,1644547141451,1644547128363,4,1644547128363,786,78,0,0,37581,0,DKU006#
DEVICE,1644547141484,1644547128396,4,1644547128396,799,79,0,0,37581,0,DKU006#
DEVICE,1644547141515,1644547128427,4,1644547128427,807,80,0,0,37581,0,DKU006#
DEVICE,1644547141547,1644547128459,4,1644547128459,774,77,0,0,37581,0,DKU006#
DEVICE,1644547141579,1644547128491,4,1644547128491,781,78,0,0,37581,0,DKU006#
DEVICE,1644547141612,1644547128524,4,1644547128524,792,79,0,0,37581,0,DKU006#
DEVICE,1644547141643,1644547128555,4,1644547128555,783,78,0,0,37581,0,DKU006#
DEVICE,1644547141676,1644547128588,4,1644547128588,788,78,0,0,37581,0,DKU006#
DEVICE,1644547141707,1644547128619,4,1644547128619,778,77,0,0,37581,0,DKU006#
DEVICE,1644547141739,1644547128651,4,1644547128651,772,77,0,0,37581,0,DKU006#
DEVICE,1644547141771,1644547128683,4,1644547128683,783,78,0,0,37581,0,DKU006#
DEVICE,1644547141803,1644547128715,4,1644547128715,777,77,0,0,37581,0,DKU006#
DEVICE,1644547141835,1644547128747,4,1644547128747,782,78,0,0,37581,0,DKU006#
DEVICE,1644547141867,1644547128779,4,1644547128779,792,79,0,0,37581,0,DKU006#
DEVICE,1644547141899,1644547128811,4,1644547128811,791,79,0,0,37581,0,DKU006#
DEVICE,1644547141931,1644547128843,4,1644547128843,806,80,0,0,37581,0,DKU006#
DEVICE,1644547141963,1644547128875,4,1644547128875,786,78,0,0,37581,0,DKU006#
DEVICE,1644547141996,1644547128908,4,1644547128908,780,78,0,0,37581,0,DKU006#
DEVICE,1644547142027,1644547128939,4,1644547128939,772,77,0,0,37581,0,DKU006#
DEVICE,1644547142059,1644547128971,4,1644547128971,780,78,0,0,37581,0,DKU006#
DEVICE,1644547142092,1644547129004,4,1644547129004,798,79,0,0,37581,0,DKU006#
DEVICE,1644547142123,1644547129035,4,1644547129035,780,78,0,0,37581,0,DKU006#
DEVICE,1644547142155,1644547129067,4,1644547129067,789,78,0,0,37581,0,DKU006#
DEVICE,1644547142187,1644547129099,4,1644547129099,803,80,0,0,37581,0,DKU006#
DEVICE,1644547142219,1644547129131,4,1644547129131,789,78,0,0,37581,0,DKU006#
DEVICE,1644547142251,1644547129163,4,1644547129163,787,78,0,0,37581,0,DKU006#
DEVICE,1644547142283,1644547129195,4,1644547129195,786,78,0,0,37581,0,DKU006#
DEVICE,1644547142331,1644547129243,4,1644547129243,770,77,0,0,37587,0,DKU006#
DEVICE,1644547142346,1644547129258,4,1644547129258,786,78,0,0,37587,0,DKU006#
DEVICE,1644547142379,1644547129291,4,1644547129291,790,79,0,0,37587,0,DKU006#
DEVICE,1644547142411,1644547129323,4,1644547129323,791,79,0,0,37587,0,DKU006#
DEVICE,1644547142443,1644547129355,4,1644547129355,795,79,0,0,37587,0,DKU006#
DEVICE,1644547142475,1644547129387,4,1644547129387,793,79,0,0,37587,0,DKU006#
DEVICE,1644547142507,1644547129419,4,1644547129419,795,79,0,0,37587,0,DKU006#
DEVICE,1644547142539,1644547129451,4,1644547129451,788,78,0,0,37587,0,DKU006#
DEVICE,1644547142571,1644547129483,4,1644547129483,780,78,0,0,37587,0,DKU006#
DEVICE,1644547142603,1644547129515,4,1644547129515,791,79,0,0,37587,0,DKU006#
DEVICE,1644547142635,1644547129547,4,1644547129547,783,78,0,0,37587,0,DKU006#
DEVICE,1644547142667,1644547129579,4,1644547129579,798,79,0,0,37587,0,DKU006#
DEVICE,1644547142699,1644547129611,4,1644547129611,810,81,0,0,37587,0,DKU006#
DEVICE,1644547142731,1644547129643,4,1644547129643,788,78,0,0,37587,0,DKU006#
DEVICE,1644547142763,1644547129675,4,1644547129675,814,81,0,0,37587,0,DKU006#
DEVICE,1644547142795,1644547129707,4,1644547129707,799,79,0,0,37587,0,DKU006#
DEVICE,1644547142827,1644547129739,4,1644547129739,792,79,0,0,37587,0,DKU006#
DEVICE,1644547142859,1644547129771,4,1644547129771,794,79,0,0,37587,0,DKU006#
DEVICE,1644547142891,1644547129803,4,1644547129803,803,80,0,0,37587,0,DKU006#
DEVICE,1644547142923,1644547129835,4,1644547129835,820,82,0,0,37587,0,DKU006#
DEVICE,1644547142955,1644547129867,4,1644547129867,785,78,0,0,37587,0,DKU006#
DEVICE,1644547142986,1644547129898,4,1644547129898,792,79,0,0,37587,0,DKU006#
DEVICE,1644547143018,1644547129930,4,1644547129930,794,79,0,0,37587,0,DKU006#
DEVICE,1644547143050,1644547129962,4,1644547129962,797,79,0,0,37587,0,DKU006#
