Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1655187692157,1655187692237,4,1655187692010,-0.007,0.006,0.009,0.002,-0.000,-0.005,117
WATCH,1655187692157,1655187692237,4,1655187692020,-0.003,0.005,0.008,0.002,0.002,-0.004,117
WATCH,1655187692157,1655187692237,4,1655187692030,0.004,0.005,0.005,0.003,0.000,-0.003,117
WATCH,1655187692157,1655187692237,4,1655187692040,0.002,0.006,0.001,0.002,0.001,0.001,117
WATCH,1655187692158,1655187692238,4,1655187692050,-0.007,0.007,0.004,-0.003,0.001,0.001,117
WATCH,1655187692158,1655187692238,4,1655187692059,-0.010,0.005,0.005,-0.001,-0.002,-0.001,117
WATCH,1655187692158,1655187692238,4,1655187692070,-0.003,0.008,0.006,0.001,-0.004,-0.003,117
WATCH,1655187692158,1655187692238,4,1655187692079,-0.003,0.006,0.000,0.001,-0.000,-0.003,117
WATCH,1655187692158,1655187692238,4,1655187692089,-0.001,0.008,0.001,-0.002,-0.000,-0.005,117
WATCH,1655187692243,1655187692323,4,1655187692099,-0.000,0.011,-0.000,-0.001,0.002,-0.005,117
WATCH,1655187692244,1655187692324,4,1655187692109,0.004,0.011,-0.006,-0.002,0.002,-0.002,117
WATCH,1655187692244,1655187692324,4,1655187692119,0.011,0.013,0.001,0.002,0.002,0.001,117
WATCH,1655187692244,1655187692324,4,1655187692129,0.008,0.013,-0.000,0.002,-0.000,0.001,117
WATCH,1655187692244,1655187692324,4,1655187692139,-0.001,0.007,0.003,0.002,-0.001,0.001,117
WATCH,1655187692244,1655187692324,4,1655187692149,0.001,0.005,0.002,0.001,-0.002,-0.000,117
WATCH,1655187692244,1655187692324,4,1655187692159,-0.000,0.012,0.002,-0.001,-0.002,0.001,117
WATCH,1655187692244,1655187692324,4,1655187692169,-0.007,0.010,0.001,-0.001,0.003,-0.001,117
WATCH,1655187692244,1655187692324,4,1655187692179,-0.002,0.006,-0.002,0.001,0.005,-0.002,117
WATCH,1655187692244,1655187692324,4,1655187692189,0.007,0.006,0.004,-0.001,0.003,-0.003,117
WATCH,1655187692271,1655187692351,4,1655187692198,0.015,0.012,0.008,0.002,0.001,-0.002,117
WATCH,1655187692271,1655187692351,4,1655187692208,0.003,0.004,0.006,0.004,0.001,-0.004,117
WATCH,1655187692271,1655187692351,4,1655187692219,-0.006,0.003,-0.001,-0.001,-0.001,-0.004,117
WATCH,1655187692271,1655187692351,4,1655187692228,0.002,0.008,0.005,-0.002,-0.002,-0.001,117
WATCH,1655187692271,1655187692351,4,1655187692238,0.004,0.008,0.006,-0.000,0.002,0.004,117
WATCH,1655187692307,1655187692387,4,1655187692248,-0.002,0.001,0.001,0.003,0.001,0.001,117
WATCH,1655187692308,1655187692388,4,1655187692258,-0.001,-0.001,0.004,-0.003,-0.002,-0.006,117
WATCH,1655187692308,1655187692388,4,1655187692268,0.003,0.006,0.007,-0.000,-0.003,-0.001,117
WATCH,1655187692308,1655187692388,4,1655187692278,0.007,0.003,0.005,0.005,0.001,0.003,117
WATCH,1655187692308,1655187692388,4,1655187692288,-0.004,-0.001,-0.002,0.003,0.000,0.001,117
WATCH,1655187692335,1655187692415,4,1655187692298,-0.005,-0.003,-0.005,-0.002,-0.000,-0.004,117
WATCH,1655187692335,1655187692415,4,1655187692308,0.004,-0.004,0.008,-0.003,-0.003,-0.004,117
WATCH,1655187692335,1655187692415,4,1655187692318,0.011,0.002,0.004,0.004,0.002,0.003,117
WATCH,1655187692335,1655187692415,4,1655187692327,0.006,-0.002,0.004,0.007,0.002,0.007,117
WATCH,1655187692335,1655187692415,4,1655187692338,-0.013,0.001,0.003,0.003,-0.004,0.002,117
WATCH,1655187692392,1655187692472,4,1655187692348,-0.032,-0.008,-0.008,-0.002,-0.005,-0.006,117
WATCH,1655187692392,1655187692472,4,1655187692357,-0.015,-0.006,-0.010,-0.005,0.002,-0.010,117
WATCH,1655187692392,1655187692472,4,1655187692367,0.011,0.007,0.004,-0.003,0.006,-0.005,117
WATCH,1655187692392,1655187692472,4,1655187692377,0.014,0.003,0.005,0.003,0.006,0.003,117
WATCH,1655187692393,1655187692473,4,1655187692387,0.013,0.003,0.006,0.006,-0.002,0.005,117
WATCH,1655187692456,1655187692536,4,1655187692397,0.004,0.003,-0.001,0.004,-0.009,0.004,117
WATCH,1655187692456,1655187692536,4,1655187692407,-0.013,0.005,-0.008,0.003,-0.004,0.001,117
WATCH,1655187692456,1655187692536,4,1655187692417,-0.031,-0.006,-0.015,-0.003,0.006,-0.006,117
WATCH,1655187692456,1655187692536,4,1655187692427,-0.011,-0.005,-0.006,-0.012,0.007,-0.013,117
WATCH,1655187692456,1655187692536,4,1655187692437,0.016,0.009,0.017,-0.008,0.002,-0.011,117
WATCH,1655187692521,1655187692601,4,1655187692447,0.016,0.005,0.012,0.006,0.003,-0.000,117
WATCH,1655187692521,1655187692601,4,1655187692457,0.000,0.006,0.008,0.012,-0.002,0.007,117
WATCH,1655187692521,1655187692601,4,1655187692466,-0.002,0.007,0.001,0.005,-0.005,0.007,117
WATCH,1655187692521,1655187692601,4,1655187692477,-0.006,0.010,0.001,-0.002,-0.001,0.007,117
WATCH,1655187692521,1655187692601,4,1655187692487,-0.006,0.012,0.001,-0.001,0.002,0.000,117
WATCH,1655187692522,1655187692602,4,1655187692497,-0.014,0.002,-0.006,-0.001,0.002,-0.008,117
WATCH,1655187692522,1655187692602,4,1655187692507,-0.010,0.001,-0.007,-0.005,-0.004,-0.013,117
WATCH,1655187692522,1655187692602,4,1655187692516,-0.000,-0.005,0.002,-0.006,-0.000,-0.009,117
WATCH,1655187692522,1655187692602,4,1655187692526,0.004,0.000,-0.001,-0.002,0.005,-0.003,117
WATCH,1655187692522,1655187692602,4,1655187692537,0.009,-0.000,0.002,0.003,0.003,0.003,117
WATCH,1655187692604,1655187692684,4,1655187692546,0.007,0.000,0.007,0.003,-0.002,0.004,117
WATCH,1655187692604,1655187692684,4,1655187692556,0.004,0.001,0.001,0.005,-0.003,0.005,117
WATCH,1655187692604,1655187692684,4,1655187692567,-0.006,-0.000,-0.011,0.002,0.000,-0.001,117
WATCH,1655187692604,1655187692684,4,1655187692576,0.005,-0.002,-0.006,-0.002,0.002,-0.006,117
WATCH,1655187692604,1655187692684,4,1655187692586,0.012,0.007,0.000,-0.001,0.006,-0.004,117
WATCH,1655187692664,1655187692744,4,1655187692596,0.012,0.003,0.009,0.004,0.006,0.001,117
WATCH,1655187692664,1655187692744,4,1655187692606,-0.003,0.005,0.002,0.006,0.001,0.006,117
WATCH,1655187692664,1655187692744,4,1655187692616,-0.013,0.003,0.000,0.001,-0.006,0.002,117
WATCH,1655187692665,1655187692745,4,1655187692626,-0.007,-0.004,0.000,-0.004,-0.007,-0.002,117
WATCH,1655187692665,1655187692745,4,1655187692636,0.001,0.001,0.005,-0.002,0.001,-0.005,117
WATCH,1655187692667,1655187692747,4,1655187692646,0.006,0.003,0.002,0.001,0.007,-0.003,117
WATCH,1655187692667,1655187692747,4,1655187692655,0.006,-0.005,0.006,0.000,0.007,-0.004,117
WATCH,1655187692668,1655187692748,4,1655187692665,0.006,-0.010,0.012,-0.001,0.002,-0.002,117
WATCH,1655187692668,1655187692748,4,1655187692675,-0.008,-0.014,0.015,0.001,-0.000,-0.001,117
WATCH,1655187692668,1655187692748,4,1655187692685,-0.023,-0.024,0.016,0.002,0.000,-0.001,117
WATCH,1655187692721,1655187692801,4,1655187692695,-0.022,-0.023,0.023,0.001,0.001,-0.003,117
WATCH,1655187692721,1655187692801,4,1655187692705,-0.027,-0.030,0.028,0.001,0.007,-0.002,117
WATCH,1655187692721,1655187692801,4,1655187692715,-0.026,-0.040,0.040,0.001,0.009,0.003,117
WATCH,1655187692721,1655187692801,4,1655187692725,-0.025,-0.037,0.052,0.003,0.009,0.005,117
WATCH,1655187692722,1655187692802,4,1655187692735,-0.032,-0.039,0.063,0.001,0.008,0.003,117
WATCH,1655187692787,1655187692867,4,1655187692745,-0.032,-0.043,0.074,0.004,0.007,-0.003,117
WATCH,1655187692787,1655187692867,4,1655187692755,-0.038,-0.048,0.083,0.003,0.008,-0.006,117
WATCH,1655187692787,1655187692867,4,1655187692765,-0.026,-0.052,0.093,0.003,0.009,-0.009,117
WATCH,1655187692787,1655187692867,4,1655187692775,-0.017,-0.055,0.098,0.003,0.009,-0.003,117
WATCH,1655187692787,1655187692867,4,1655187692785,-0.027,-0.045,0.084,0.009,0.008,-0.002,117
WATCH,1655187692876,1655187692956,4,1655187692794,-0.035,-0.052,0.069,-0.003,-0.003,0.004,117
WATCH,1655187692876,1655187692956,4,1655187692805,-0.034,-0.036,0.082,-0.010,-0.013,0.000,117
