DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADCDeviceName(Current)
DEVICE,1655361120321,1655361120323,4,1655361120323,44,4,5,0,0,0
DEVICE,1655361120354,1655361120356,4,1655361120356,43,4,5,0,0,0
DEVICE,1655361120384,1655361120386,4,1655361120386,42,4,5,0,0,0
DEVICE,1655361120416,1655361120418,4,1655361120418,42,4,5,0,0,0
DEVICE,1655361120448,1655361120450,4,1655361120450,41,4,5,0,0,0
DEVICE,1655361120480,1655361120482,4,1655361120482,45,4,5,0,0,0
DEVICE,1655361120513,1655361120515,4,1655361120515,43,4,5,0,0,0
DEVICE,1655361120545,1655361120547,4,1655361120547,42,4,5,0,0,0
DEVICE,1655361120577,1655361120579,4,1655361120579,44,4,5,0,0,0
DEVICE,1655361120608,1655361120610,4,1655361120610,42,4,5,0,0,0
DEVICE,1655361120640,1655361120642,4,1655361120642,43,4,5,0,0,0
DEVICE,1655361120672,1655361120674,4,1655361120674,42,4,5,0,0,0
DEVICE,1655361120704,1655361120706,4,1655361120706,45,4,5,0,0,0
DEVICE,1655361120736,1655361120738,4,1655361120738,44,4,5,0,0,0
DEVICE,1655361120769,1655361120771,4,1655361120771,42,4,5,0,0,0
DEVICE,1655361120800,1655361120802,4,1655361120802,44,4,5,0,0,0
DEVICE,1655361120832,1655361120834,4,1655361120834,41,4,5,0,0,0
DEVICE,1655361120864,1655361120866,4,1655361120866,41,4,5,0,0,0
DEVICE,1655361120897,1655361120899,4,1655361120899,42,4,5,0,0,0
DEVICE,1655361120928,1655361120930,4,1655361120930,43,4,5,0,0,0
DEVICE,1655361120960,1655361120962,4,1655361120962,41,4,5,0,0,0
DEVICE,1655361120993,1655361120995,4,1655361120995,44,4,5,0,0,0
DEVICE,1655361121025,1655361121027,4,1655361121027,44,4,5,0,0,0
DEVICE,1655361121057,1655361121059,4,1655361121059,42,4,5,0,0,0
DEVICE,1655361121088,1655361121090,4,1655361121090,41,4,5,0,0,0
DEVICE,1655361121120,1655361121122,4,1655361121122,44,4,5,0,0,0
DEVICE,1655361121152,1655361121154,4,1655361121154,42,4,5,0,0,0
DEVICE,1655361121184,1655361121186,4,1655361121186,42,4,5,0,0,0
DEVICE,1655361121216,1655361121218,4,1655361121218,42,4,5,0,0,0
DEVICE,1655361121248,1655361121250,4,1655361121250,40,4,5,0,0,0
DEVICE,1655361121280,1655361121282,4,1655361121282,45,4,5,0,0,0
DEVICE,1655361121312,1655361121314,4,1655361121314,42,4,5,0,0,0
DEVICE,1655361121344,1655361121346,4,1655361121346,44,4,5,0,0,0
DEVICE,1655361121360,1655361121362,4,1655361121362,44,4,5,0,0,0
DEVICE,1655361121392,1655361121394,4,1655361121394,44,4,5,0,0,0
DEVICE,1655361121424,1655361121426,4,1655361121426,42,4,5,0,0,0
DEVICE,1655361121456,1655361121458,4,1655361121458,43,4,5,0,0,0
DEVICE,1655361121488,1655361121490,4,1655361121490,42,4,5,0,0,0
DEVICE,1655361121520,1655361121522,4,1655361121522,43,4,5,0,0,0
DEVICE,1655361121552,1655361121554,4,1655361121554,41,4,5,0,0,0
DEVICE,1655361121584,1655361121586,4,1655361121586,41,4,5,0,0,0
DEVICE,1655361121615,1655361121617,4,1655361121617,42,4,5,0,0,0
DEVICE,1655361121648,1655361121650,4,1655361121650,41,4,5,0,0,0
DEVICE,1655361121680,1655361121682,4,1655361121682,45,4,5,0,0,0
DEVICE,1655361121712,1655361121714,4,1655361121714,41,4,5,0,0,0
DEVICE,1655361121743,1655361121745,4,1655361121745,45,4,5,0,0,0
DEVICE,1655361121776,1655361121778,4,1655361121778,43,4,5,0,0,0
DEVICE,1655361121808,1655361121810,4,1655361121810,40,4,5,0,0,0
DEVICE,1655361121840,1655361121842,4,1655361121842,42,4,5,0,0,0
DEVICE,1655361121872,1655361121874,4,1655361121874,44,4,5,0,0,0
DEVICE,1655361121904,1655361121906,4,1655361121906,41,4,5,0,0,0
DEVICE,1655361121936,1655361121938,4,1655361121938,42,4,5,0,0,0
DEVICE,1655361121968,1655361121970,4,1655361121970,42,4,5,0,0,0
DEVICE,1655361122000,1655361122002,4,1655361122002,44,4,5,0,0,0
DEVICE,1655361122032,1655361122034,4,1655361122034,43,4,5,0,0,0
DEVICE,1655361122064,1655361122066,4,1655361122066,41,4,5,0,0,0
DEVICE,1655361122096,1655361122098,4,1655361122098,44,4,5,0,0,0
DEVICE,1655361122128,1655361122130,4,1655361122130,42,4,5,0,0,0
DEVICE,1655361122160,1655361122162,4,1655361122162,41,4,5,0,0,0
DEVICE,1655361122193,1655361122195,4,1655361122195,42,4,5,0,0,0
DEVICE,1655361122224,1655361122226,4,1655361122226,45,4,5,0,0,0
DEVICE,1655361122256,1655361122258,4,1655361122258,45,4,5,0,0,0
DEVICE,1655361122288,1655361122290,4,1655361122290,46,4,5,0,0,0
DEVICE,1655361122319,1655361122321,4,1655361122321,44,4,5,0,0,0
DEVICE,1655361122352,1655361122354,4,1655361122354,41,4,5,0,0,0
