Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
AIRPOT,1655435611688,1655435611644,4,0,0.072,-0.221,-0.973,-0.003,0.002,0.005
AIRPOT,1655435611726,1655435611682,4,0,0.073,-0.221,-0.973,0.000,0.001,0.003
AIRPOT,1655435611766,1655435611722,4,0,0.073,-0.221,-0.973,0.000,-0.000,0.003
AIRPOT,1655435611806,1655435611762,4,0,0.074,-0.220,-0.973,-0.000,0.002,0.005
AIRPOT,1655435611846,1655435611802,4,0,0.074,-0.220,-0.973,0.001,0.006,0.005
AIRPOT,1655435611886,1655435611842,4,0,0.074,-0.219,-0.973,0.003,-0.004,-0.001
AIRPOT,1655435611924,1655435611880,4,0,0.075,-0.219,-0.973,-0.000,0.002,0.005
AIRPOT,1655435611965,1655435611921,4,0,0.076,-0.217,-0.973,-0.002,-0.003,0.003
AIRPOT,1655435612006,1655435611962,4,0,0.077,-0.215,-0.974,-0.001,-0.007,0.002
AIRPOT,1655435612045,1655435612001,4,0,0.081,-0.209,-0.975,-0.003,-0.015,-0.010
AIRPOT,1655435612086,1655435612042,4,0,0.090,-0.190,-0.978,-0.003,-0.043,-0.024
AIRPOT,1655435612125,1655435612081,4,0,0.110,-0.143,-0.984,-0.019,-0.071,0.003
AIRPOT,1655435612165,1655435612121,4,0,0.134,-0.067,-0.989,-0.031,-0.033,0.066
AIRPOT,1655435612206,1655435612162,4,0,0.154,0.021,-0.988,-0.005,-0.116,0.054
AIRPOT,1655435612245,1655435612201,4,0,0.168,0.110,-0.980,-0.016,-0.024,0.069
AIRPOT,1655435612285,1655435612241,4,0,0.174,0.187,-0.967,0.007,-0.058,0.036
AIRPOT,1655435612325,1655435612281,4,0,0.173,0.245,-0.954,-0.002,0.024,0.025
AIRPOT,1655435612366,1655435612322,4,0,0.168,0.283,-0.944,0.013,0.020,-0.019
AIRPOT,1655435612404,1655435612360,4,0,0.166,0.309,-0.937,0.009,0.050,-0.034
AIRPOT,1655435612446,1655435612402,4,0,0.166,0.328,-0.930,-0.003,0.021,-0.017
AIRPOT,1655435612485,1655435612441,4,0,0.167,0.342,-0.925,-0.010,0.009,-0.002
AIRPOT,1655435612525,1655435612481,4,0,0.167,0.352,-0.921,-0.006,-0.001,-0.004
AIRPOT,1655435612568,1655435612524,4,0,0.167,0.360,-0.918,-0.008,0.005,-0.000
AIRPOT,1655435612606,1655435612562,4,0,0.167,0.367,-0.915,-0.002,0.008,0.005
AIRPOT,1655435612647,1655435612603,4,0,0.168,0.372,-0.913,0.005,0.010,0.000
AIRPOT,1655435612687,1655435612643,4,0,0.170,0.376,-0.911,0.009,0.007,0.007
AIRPOT,1655435612726,1655435612682,4,0,0.170,0.379,-0.909,0.010,0.021,0.011
AIRPOT,1655435612759,1655435612715,4,0,0.171,0.383,-0.908,0.017,0.013,0.005
AIRPOT,1655435612806,1655435612762,4,0,0.170,0.386,-0.907,0.014,0.012,0.012
AIRPOT,1655435612846,1655435612802,4,0,0.170,0.388,-0.906,0.009,0.013,0.006
AIRPOT,1655435612886,1655435612842,4,0,0.169,0.390,-0.905,0.003,0.010,0.006
AIRPOT,1655435612926,1655435612882,4,0,0.169,0.390,-0.905,0.005,0.008,0.004
AIRPOT,1655435612966,1655435612922,4,0,0.169,0.391,-0.905,-0.001,-0.001,0.014
AIRPOT,1655435613005,1655435612961,4,0,0.167,0.392,-0.905,-0.004,0.007,0.010
AIRPOT,1655435613047,1655435613003,4,0,0.167,0.393,-0.904,0.003,0.009,-0.003
AIRPOT,1655435613087,1655435613043,4,0,0.166,0.393,-0.904,0.000,0.009,-0.002
AIRPOT,1655435613125,1655435613081,4,0,0.166,0.391,-0.905,-0.005,0.011,0.004
AIRPOT,1655435613168,1655435613124,4,0,0.165,0.383,-0.909,0.004,0.016,-0.003
AIRPOT,1655435613206,1655435613162,4,0,0.163,0.362,-0.918,-0.007,0.005,0.032
AIRPOT,1655435613246,1655435613202,4,0,0.152,0.311,-0.938,0.018,0.056,0.006
AIRPOT,1655435613286,1655435613242,4,0,0.141,0.233,-0.962,0.038,0.080,-0.016
AIRPOT,1655435613324,1655435613280,4,0,0.131,0.137,-0.982,0.044,0.071,-0.026
AIRPOT,1655435613366,1655435613322,4,0,0.122,0.042,-0.992,0.042,0.077,-0.014
AIRPOT,1655435613405,1655435613361,4,0,0.115,-0.041,-0.993,0.009,0.052,0.037
AIRPOT,1655435613446,1655435613402,4,0,0.103,-0.105,-0.989,0.007,0.033,0.023
AIRPOT,1655435613486,1655435613442,4,0,0.092,-0.152,-0.984,0.009,0.009,0.021
AIRPOT,1655435613524,1655435613480,4,0,0.081,-0.186,-0.979,0.001,-0.005,0.039
AIRPOT,1655435613566,1655435613522,4,0,0.069,-0.209,-0.975,0.007,-0.015,0.029
AIRPOT,1655435613608,1655435613564,4,0,0.058,-0.227,-0.972,0.020,-0.021,-0.003
AIRPOT,1655435613647,1655435613603,4,0,0.049,-0.240,-0.970,0.004,-0.009,0.014
AIRPOT,1655435613685,1655435613641,4,0,0.039,-0.250,-0.967,0.009,-0.001,0.002
AIRPOT,1655435613728,1655435613684,4,0,0.031,-0.258,-0.966,0.004,-0.012,0.002
AIRPOT,1655435613767,1655435613723,4,0,0.024,-0.265,-0.964,-0.004,-0.010,0.011
AIRPOT,1655435613805,1655435613761,4,0,0.016,-0.271,-0.962,-0.011,-0.011,0.013
AIRPOT,1655435613846,1655435613802,4,0,0.006,-0.277,-0.961,-0.016,-0.012,0.012
AIRPOT,1655435613886,1655435613842,4,0,-0.003,-0.282,-0.959,-0.022,-0.018,0.015
AIRPOT,1655435613925,1655435613881,4,0,-0.012,-0.285,-0.958,-0.028,-0.027,0.015
AIRPOT,1655435613970,1655435613926,4,0,-0.019,-0.288,-0.957,-0.031,-0.041,0.014
AIRPOT,1655435614006,1655435613962,4,0,-0.024,-0.291,-0.956,-0.032,-0.020,0.017
AIRPOT,1655435614045,1655435614001,4,0,-0.030,-0.294,-0.955,-0.024,-0.004,0.019
AIRPOT,1655435614086,1655435614042,4,0,-0.036,-0.296,-0.955,-0.014,-0.002,0.000
AIRPOT,1655435614126,1655435614082,4,0,-0.039,-0.297,-0.954,-0.017,0.001,0.000
AIRPOT,1655435614169,1655435614125,4,0,-0.040,-0.296,-0.954,-0.018,-0.005,-0.003
AIRPOT,1655435614204,1655435614160,4,0,-0.040,-0.296,-0.954,-0.021,0.004,0.001
AIRPOT,1655435614246,1655435614202,4,0,-0.041,-0.296,-0.954,-0.018,0.003,-0.002
AIRPOT,1655435614286,1655435614242,4,0,-0.042,-0.296,-0.954,-0.017,0.011,0.010
AIRPOT,1655435614326,1655435614282,4,0,-0.044,-0.297,-0.954,-0.010,0.013,0.009
AIRPOT,1655435614369,1655435614325,4,0,-0.045,-0.297,-0.954,-0.005,0.008,0.005
AIRPOT,1655435614405,1655435614361,4,0,-0.046,-0.297,-0.954,-0.004,0.006,-0.003
AIRPOT,1655435614445,1655435614401,4,0,-0.046,-0.296,-0.954,-0.003,0.005,-0.023
AIRPOT,1655435614486,1655435614442,4,0,-0.046,-0.295,-0.954,-0.013,0.019,-0.002
AIRPOT,1655435614530,1655435614486,4,0,-0.047,-0.293,-0.955,-0.009,0.019,0.007
AIRPOT,1655435614565,1655435614521,4,0,-0.048,-0.292,-0.955,-0.017,0.019,0.021
AIRPOT,1655435614605,1655435614561,4,0,-0.048,-0.292,-0.955,-0.002,0.004,0.004
